"woj","o_l","o_z","o_z_wsk","l_0_4","z_0_4","l_5_14","z_5_14","l_15_64","z_15_64","l_65","z_65","dni","miesiac","rok","tydz","numer"
"Dolnośląskie",17053,84.24,25,2292,250.4,3055,149.1,9781,74,1925,47.38,"1-7","styczeń","2023","1","1A"
"Kujawsko-Pomorskie",15582,110.66,-19.98,2322,358.96,2505,165.7,8697,94.38,2058,76,"1-7","styczeń","2023","1","1A"
"Lubelskie",11562,81.34,-13.13,2013,311.84,2162,144.87,6000,65.03,1387,48.68,"1-7","styczeń","2023","1","1A"
"Lubuskie",4497,65.38,-21.92,662,217.62,979,131.55,2335,51.84,521,39.3,"1-7","styczeń","2023","1","1A"
"Łódzkie",16300,97.61,3.84,2183,296.51,2994,178.08,8663,80.99,2460,68.6,"1-7","styczeń","2023","1","1A"
"Małopolskie",25650,106.86,20.23,4589,364.43,5100,191.21,13428,84.76,2533,59.84,"1-7","styczeń","2023","1","1A"
"Mazowieckie",52225,135.37,16.37,8854,439.57,10282,237.56,27828,110.94,5261,73.53,"1-7","styczeń","2023","1","1A"
"Opolskie",3299,49.86,-9.17,500,176.54,558,87.26,1738,39.72,503,38.16,"1-7","styczeń","2023","1","1A"
"Podkarpackie",6046,41.49,3.22,926,129.97,1067,67.48,3379,35.04,674,25.58,"1-7","styczeń","2023","1","1A"
"Podlaskie",8582,107,-32.6,1266,328.31,1798,213.52,4426,83.92,1092,71.9,"1-7","styczeń","2023","1","1A"
"Pomorskie",38489,233.14,-35.74,6686,767.4,7233,382.71,19924,184.4,4646,157.87,"1-7","styczeń","2023","1","1A"
"Śląskie",47742,156.43,22.23,7092,526.08,10037,319.77,25505,128.66,5108,82.27,"1-7","styczeń","2023","1","1A"
"Świętokrzyskie",8203,99.13,38.07,1643,477.35,2272,275.9,3624,67.94,664,37.45,"1-7","styczeń","2023","1","1A"
"Warmińsko-Mazurskie",9719,101.35,-13.94,1402,324.55,1799,173.26,5311,83.61,1207,68.31,"1-7","styczeń","2023","1","1A"
"Wielkopolskie",35531,145.18,-32.21,6225,492.68,6924,248.95,17796,110.82,4586,104.91,"1-7","styczeń","2023","1","1A"
"Zachodniopomorskie",6157,53.47,8.1,752,153.03,1214,103.2,3307,44,884,37.92,"1-7","styczeń","2023","1","1A"
"Dolnośląskie",11912,51.49,-32.75,1792,171.3,1953,83.4,6653,44.04,1514,32.61,"8-15","styczeń","2023","2","1B"
"Kujawsko-Pomorskie",11655,72.42,-38.23,2223,300.7,2214,128.14,5653,53.68,1565,50.57,"8-15","styczeń","2023","2","1B"
"Lubelskie",9527,58.65,-22.7,1331,180.41,1989,116.62,4794,45.47,1413,43.39,"8-15","styczeń","2023","2","1B"
"Lubuskie",4977,63.31,-3.71,824,237.01,1167,137.21,2430,47.2,556,36.7,"8-15","styczeń","2023","2","1B"
"Łódzkie",13021,68.23,-29.38,1851,219.99,2269,118.09,6806,55.68,2095,51.12,"8-15","styczeń","2023","2","1B"
"Małopolskie",25929,94.52,-12.34,4078,283.37,4688,153.79,14728,81.34,2435,50.33,"8-15","styczeń","2023","2","1B"
"Mazowieckie",43955,99.69,-35.68,7259,315.33,8891,179.75,23116,80.64,4689,57.35,"8-15","styczeń","2023","2","1B"
"Opolskie",3014,39.86,-10,420,129.76,556,76.08,1568,31.36,470,31.2,"8-15","styczeń","2023","2","1B"
"Podkarpackie",8740,52.48,10.99,1537,188.76,1665,92.13,4488,40.73,1050,34.87,"8-15","styczeń","2023","2","1B"
"Podlaskie",5782,63.08,-43.92,829,188.11,1154,119.91,2965,49.19,834,48.05,"8-15","styczeń","2023","2","1B"
"Pomorskie",31496,166.93,-66.21,5186,520.83,5780,267.6,16526,133.83,4004,119.05,"8-15","styczeń","2023","2","1B"
"Śląskie",32467,93.08,-63.35,5004,324.79,6108,170.27,17489,77.19,3866,54.48,"8-15","styczeń","2023","2","1B"
"Świętokrzyskie",5295,55.99,-43.14,919,233.63,1214,129,2478,40.65,684,33.76,"8-15","styczeń","2023","2","1B"
"Warmińsko-Mazurskie",8289,75.64,-25.72,1031,208.83,1687,142.16,4347,59.88,1224,60.62,"8-15","styczeń","2023","2","1B"
"Wielkopolskie",32333,115.6,-29.58,5358,371.05,6072,191.03,16977,92.51,3926,78.59,"8-15","styczeń","2023","2","1B"
"Zachodniopomorskie",4445,33.78,-19.69,560,99.71,755,56.16,2412,28.08,718,26.95,"8-15","styczeń","2023","2","1B"
"Dolnośląskie",10690,52.8,1.32,1641,179.28,2053,100.19,5799,43.87,1197,29.46,"16-22","styczeń","2023","3","1C"
"Kujawsko-Pomorskie",8488,60.28,-12.14,1821,281.51,1796,118.8,3970,43.08,901,33.27,"16-22","styczeń","2023","3","1C"
"Lubelskie",7358,51.77,-6.88,1203,186.36,1581,105.94,3633,39.38,941,33.03,"16-22","styczeń","2023","3","1C"
"Lubuskie",3027,44.01,-19.3,660,216.96,867,116.5,1238,27.48,262,19.76,"16-22","styczeń","2023","3","1C"
"Łódzkie",8484,50.8,-17.42,1213,164.76,1707,101.53,4100,38.33,1464,40.83,"16-22","styczeń","2023","3","1C"
"Małopolskie",23333,97.21,2.69,4177,331.71,5271,197.62,11666,73.63,2219,52.42,"16-22","styczeń","2023","3","1C"
"Mazowieckie",35757,92.68,-7.01,6168,306.22,7852,181.42,18340,73.12,3397,47.48,"16-22","styczeń","2023","3","1C"
"Opolskie",2896,43.77,3.91,445,157.12,650,101.64,1407,32.16,394,29.89,"16-22","styczeń","2023","3","1C"
"Podkarpackie",5784,39.7,-12.79,891,125.06,1257,79.49,2782,28.85,854,32.41,"16-22","styczeń","2023","3","1C"
"Podlaskie",4901,61.1,-1.97,676,175.31,1230,146.07,2296,43.53,699,46.02,"16-22","styczeń","2023","3","1C"
"Pomorskie",18071,109.46,-57.47,3892,446.72,3922,207.52,8279,76.62,1978,67.21,"16-22","styczeń","2023","3","1C"
"Śląskie",25358,83.09,-10,4603,341.44,5182,165.09,12927,65.21,2646,42.62,"16-22","styczeń","2023","3","1C"
"Świętokrzyskie",5955,71.96,15.97,978,284.15,1492,181.18,2835,53.15,650,36.66,"16-22","styczeń","2023","3","1C"
"Warmińsko-Mazurskie",6147,64.1,-11.53,848,196.3,1572,151.39,2901,45.67,826,46.75,"16-22","styczeń","2023","3","1C"
"Wielkopolskie",23729,96.96,-18.64,4539,359.24,5146,185.03,11331,70.56,2713,62.06,"16-22","styczeń","2023","3","1C"
"Zachodniopomorskie",4358,37.84,4.07,658,133.9,1073,91.22,1992,26.5,635,27.24,"16-22","styczeń","2023","3","1C"
"Dolnośląskie",13676,52.54,-0.26,2220,188.64,3257,123.63,6840,40.25,1359,26.02,"23-31","styczeń","2023","4","1D"
"Kujawsko-Pomorskie",10677,58.97,-1.3,2083,250.46,2703,139.06,4866,41.07,1025,29.44,"23-31","styczeń","2023","4","1D"
"Lubelskie",9559,52.31,0.54,1991,239.89,1991,103.76,4476,37.73,1101,30.05,"23-31","styczeń","2023","4","1D"
"Lubuskie",4661,52.7,8.7,997,254.91,1499,156.66,1845,31.86,320,18.78,"23-31","styczeń","2023","4","1D"
"Łódzkie",7248,33.76,-17.05,1421,150.12,1467,67.86,3158,22.96,1202,26.07,"23-31","styczeń","2023","4","1D"
"Małopolskie",24703,80.05,-17.16,4591,283.57,6917,201.7,11220,55.08,1975,36.29,"23-31","styczeń","2023","4","1D"
"Mazowieckie",44601,89.92,-2.77,8442,325.98,11831,212.61,20716,64.23,3612,39.27,"23-31","styczeń","2023","4","1D"
"Opolskie",3103,36.48,-7.29,591,162.3,921,112.02,1310,23.29,281,16.58,"23-31","styczeń","2023","4","1D"
"Podkarpackie",4930,26.32,-13.38,891,97.27,974,47.91,2515,20.29,550,16.23,"23-31","styczeń","2023","4","1D"
"Podlaskie",5273,51.13,-9.97,980,197.67,1311,121.09,2359,34.79,623,31.9,"23-31","styczeń","2023","4","1D"
"Pomorskie",23342,109.97,0.51,4992,445.64,4526,186.26,11265,81.09,2559,67.63,"23-31","styczeń","2023","4","1D"
"Śląskie",26475,67.47,-15.62,4929,284.38,5111,126.65,13819,54.22,2616,32.77,"23-31","styczeń","2023","4","1D"
"Świętokrzyskie",6311,59.32,-12.65,1013,228.91,2017,190.51,2688,39.19,593,26.01,"23-31","styczeń","2023","4","1D"
"Warmińsko-Mazurskie",4989,40.47,-23.64,776,139.72,1160,86.89,2450,30,603,26.54,"23-31","styczeń","2023","4","1D"
"Wielkopolskie",32256,102.51,5.55,6932,426.71,7928,221.71,14405,69.77,2991,53.22,"23-31","styczeń","2023","4","1D"
"Zachodniopomorskie",5345,36.1,-1.74,833,131.84,1523,100.7,2351,24.33,638,21.28,"23-31","styczeń","2023","4","1D"
"Dolnośląskie",13512,66.74,13.31,2198,240.13,3541,172.81,6597,49.91,1176,28.95,"1-7","luty","2023","5","2A"
"Kujawsko-Pomorskie",7043,50.02,-8.96,1407,217.51,1446,95.65,3475,37.71,715,26.41,"1-7","luty","2023","5","2A"
"Lubelskie",5887,41.42,-10.89,1238,191.78,1241,83.16,2815,30.51,593,20.81,"1-7","luty","2023","5","2A"
"Lubuskie",3416,49.66,-3.04,739,242.93,1008,135.44,1472,32.68,197,14.86,"1-7","luty","2023","5","2A"
"Łódzkie",6631,39.71,5.95,1329,180.51,1449,86.18,3002,28.07,851,23.73,"1-7","luty","2023","5","2A"
"Małopolskie",19533,81.38,1.33,3729,296.13,5075,190.27,9107,57.48,1622,38.32,"1-7","luty","2023","5","2A"
"Mazowieckie",38273,99.2,9.29,7409,367.83,10891,251.63,17097,68.16,2876,40.2,"1-7","luty","2023","5","2A"
"Opolskie",2532,38.27,1.79,422,149,669,104.62,1219,27.86,222,16.84,"1-7","luty","2023","5","2A"
"Podkarpackie",3814,26.18,-0.14,807,113.27,845,53.44,1776,18.42,386,14.65,"1-7","luty","2023","5","2A"
"Podlaskie",4559,56.84,5.71,876,227.17,1018,120.89,2090,39.63,575,37.86,"1-7","luty","2023","5","2A"
"Pomorskie",20534,124.38,14.41,4306,494.23,4674,247.31,9789,90.6,1765,59.97,"1-7","luty","2023","5","2A"
"Śląskie",22575,73.97,6.5,4175,309.7,4331,137.98,11666,58.85,2403,38.7,"1-7","luty","2023","5","2A"
"Świętokrzyskie",6194,74.85,15.53,1099,319.3,1980,240.44,2644,49.56,471,26.56,"1-7","luty","2023","5","2A"
"Warmińsko-Mazurskie",4343,45.29,4.82,786,181.95,923,88.89,2138,33.66,496,28.07,"1-7","luty","2023","5","2A"
"Wielkopolskie",21818,89.15,-13.36,4727,374.12,5122,184.16,9866,61.44,2103,48.11,"1-7","luty","2023","5","2A"
"Zachodniopomorskie",4425,38.43,2.33,637,129.63,1301,110.6,2042,27.17,445,19.09,"1-7","luty","2023","5","2A"
"Dolnośląskie",11017,47.62,-19.13,1739,166.24,2871,122.6,5465,36.18,942,20.29,"8-15","luty","2023","6","2B"
"Kujawsko-Pomorskie",7223,44.88,-5.13,1344,181.8,1267,73.33,3813,36.21,799,25.82,"8-15","luty","2023","6","2B"
"Lubelskie",8142,50.12,8.7,1430,193.83,2209,129.52,3739,35.46,764,23.46,"8-15","luty","2023","6","2B"
"Lubuskie",2537,32.27,-17.39,505,145.26,653,76.77,1166,22.65,213,14.06,"8-15","luty","2023","6","2B"
"Łódzkie",7123,37.32,-2.39,1280,152.12,1860,96.8,3176,25.98,807,19.69,"8-15","luty","2023","6","2B"
"Małopolskie",18800,68.53,-12.84,3588,249.32,3823,125.41,9621,53.14,1768,36.55,"8-15","luty","2023","6","2B"
"Mazowieckie",40430,91.69,-7.51,7246,314.77,11001,222.4,19047,66.44,3136,38.35,"8-15","luty","2023","6","2B"
"Opolskie",2138,28.28,-9.99,382,118.02,553,75.67,1001,20.02,202,13.41,"8-15","luty","2023","6","2B"
"Podkarpackie",3996,24,-2.18,707,86.83,960,53.12,1981,17.98,348,11.56,"8-15","luty","2023","6","2B"
"Podlaskie",4532,49.44,-7.4,765,173.59,1028,106.82,2095,34.76,644,37.1,"8-15","luty","2023","6","2B"
"Pomorskie",26133,138.51,14.13,5277,529.97,7240,335.19,11620,94.1,1996,59.35,"8-15","luty","2023","6","2B"
"Śląskie",25486,73.07,-0.9,4509,292.66,6293,175.43,12431,54.87,2253,31.75,"8-15","luty","2023","6","2B"
"Świętokrzyskie",4605,48.69,-26.16,845,214.82,1187,126.13,2142,35.13,431,21.27,"8-15","luty","2023","6","2B"
"Warmińsko-Mazurskie",3648,33.29,-12,588,119.1,838,70.62,1763,24.29,459,22.73,"8-15","luty","2023","6","2B"
"Wielkopolskie",22620,80.87,-8.28,4777,330.82,4284,134.78,11405,62.15,2154,43.12,"8-15","luty","2023","6","2B"
"Zachodniopomorskie",3966,30.14,-8.29,562,100.07,1146,85.24,1858,21.63,400,15.01,"8-15","luty","2023","6","2B"
"Dolnośląskie",8846,43.7,-3.92,1521,166.17,2057,100.39,4418,33.43,850,20.92,"16-22","luty","2023","7","2C"
"Kujawsko-Pomorskie",8050,57.17,12.28,1623,250.9,1980,130.97,3631,39.4,816,30.14,"16-22","luty","2023","7","2C"
"Lubelskie",9537,67.1,16.97,1713,265.36,2712,181.72,4304,46.65,808,28.36,"16-22","luty","2023","7","2C"
"Lubuskie",3107,45.17,12.9,550,180.8,849,114.08,1453,32.26,255,19.24,"16-22","luty","2023","7","2C"
"Łódzkie",7943,47.56,10.24,1225,166.39,2391,142.21,3500,32.72,827,23.06,"16-22","luty","2023","7","2C"
"Małopolskie",16342,68.08,-0.45,3312,263.02,3488,130.77,8252,52.09,1290,30.48,"16-22","luty","2023","7","2C"
"Mazowieckie",31078,80.55,-7.88,5889,292.36,8083,186.76,14593,58.18,2513,35.13,"16-22","luty","2023","7","2C"
"Opolskie",2183,32.99,4.72,405,143,528,82.57,1027,23.47,223,16.92,"16-22","luty","2023","7","2C"
"Podkarpackie",5110,35.07,11.07,796,111.72,1511,95.56,2367,24.55,436,16.55,"16-22","luty","2023","7","2C"
"Podlaskie",4642,57.87,8.43,731,189.57,1369,162.57,2062,39.09,480,31.6,"16-22","luty","2023","7","2C"
"Pomorskie",27059,163.9,25.4,4939,566.89,7812,413.34,12342,114.22,1966,66.8,"16-22","luty","2023","7","2C"
"Śląskie",30277,99.2,26.14,5301,393.22,7902,251.75,14548,73.39,2526,40.68,"16-22","luty","2023","7","2C"
"Świętokrzyskie",4106,49.62,0.93,762,221.39,966,117.31,1932,36.22,446,25.15,"16-22","luty","2023","7","2C"
"Warmińsko-Mazurskie",4599,47.96,14.67,874,202.32,1316,126.74,2014,31.71,395,22.36,"16-22","luty","2023","7","2C"
"Wielkopolskie",19918,81.38,0.51,3804,301.07,4102,147.49,9818,61.14,2194,50.19,"16-22","luty","2023","7","2C"
"Zachodniopomorskie",3639,31.6,1.47,542,110.3,996,84.67,1731,23.03,370,15.87,"16-22","luty","2023","7","2C"
"Dolnośląskie",8102,46.69,3,1243,158.43,1676,95.43,4401,38.85,782,22.46,"23-28","luty","2023","8","2D"
"Kujawsko-Pomorskie",8407,69.65,12.49,1466,264.4,2337,180.35,3791,48,813,35.03,"23-28","luty","2023","8","2D"
"Lubelskie",7888,64.75,-2.35,1258,227.36,2239,175.03,3662,46.31,729,29.85,"23-28","luty","2023","8","2D"
"Lubuskie",4175,70.81,25.64,819,314.1,1237,193.92,1802,46.67,317,27.9,"23-28","luty","2023","8","2D"
"Łódzkie",8830,61.69,14.12,1275,202.04,2431,168.69,4081,44.51,1043,33.93,"23-28","luty","2023","8","2D"
"Małopolskie",15784,76.72,8.64,3104,287.58,3778,165.25,7769,57.21,1133,31.23,"23-28","luty","2023","8","2D"
"Mazowieckie",26040,78.74,-1.81,4682,271.18,5235,141.11,13732,63.87,2391,38.99,"23-28","luty","2023","8","2D"
"Opolskie",1582,27.9,-5.1,267,109.99,333,60.75,804,21.44,178,15.76,"23-28","luty","2023","8","2D"
"Podkarpackie",4647,37.21,2.14,764,125.11,1437,106.02,2114,25.58,332,14.7,"23-28","luty","2023","8","2D"
"Podlaskie",3529,51.33,-6.54,579,175.18,1203,166.67,1475,32.63,272,20.89,"23-28","luty","2023","8","2D"
"Pomorskie",23998,169.59,5.69,4230,566.43,6858,423.34,10767,116.26,2143,84.95,"23-28","luty","2023","8","2D"
"Śląskie",26960,103.06,3.85,4919,425.7,6729,250.11,12789,75.27,2523,47.41,"23-28","luty","2023","8","2D"
"Świętokrzyskie",5068,71.45,21.83,933,316.25,1479,209.54,2183,47.74,473,31.12,"23-28","luty","2023","8","2D"
"Warmińsko-Mazurskie",3968,48.28,0.32,556,150.16,1131,127.08,1875,34.44,406,26.81,"23-28","luty","2023","8","2D"
"Wielkopolskie",22827,108.81,27.43,4660,430.28,5790,242.88,10478,76.13,1899,50.68,"23-28","luty","2023","8","2D"
"Zachodniopomorskie",2778,28.14,-3.46,508,120.61,612,60.7,1393,21.62,265,13.26,"23-28","luty","2023","8","2D"
"Dolnośląskie",7931,39.18,-7.51,1180,128.92,1444,70.47,4517,34.17,790,19.44,"1-7","marzec","2023","9","3A"
"Kujawsko-Pomorskie",10248,72.78,3.12,1698,262.5,3071,203.14,4549,49.36,930,34.35,"1-7","marzec","2023","9","3A"
"Lubelskie",9005,63.35,-1.39,1428,221.21,2651,177.64,4167,45.16,759,26.64,"1-7","marzec","2023","9","3A"
"Lubuskie",4190,60.91,-9.9,694,228.13,1421,190.94,1815,40.29,260,19.61,"1-7","marzec","2023","9","3A"
"Łódzkie",8938,53.52,-8.17,1270,172.5,2538,150.96,4115,38.47,1015,28.31,"1-7","marzec","2023","9","3A"
"Małopolskie",18667,77.77,1.05,3645,289.46,4962,186.03,8688,54.84,1372,32.41,"1-7","marzec","2023","9","3A"
"Mazowieckie",25187,65.28,-13.46,5198,258.06,5307,122.62,12403,49.45,2279,31.85,"1-7","marzec","2023","9","3A"
"Opolskie",1773,26.8,-1.1,361,127.46,387,60.52,844,19.29,181,13.73,"1-7","marzec","2023","9","3A"
"Podkarpackie",5868,40.27,3.06,1003,140.78,1699,107.45,2680,27.79,486,18.44,"1-7","marzec","2023","9","3A"
"Podlaskie",4779,59.58,8.25,749,194.24,1449,172.07,2087,39.57,494,32.52,"1-7","marzec","2023","9","3A"
"Pomorskie",28958,175.41,5.82,4950,568.15,7989,422.71,13551,125.41,2468,83.86,"1-7","marzec","2023","9","3A"
"Śląskie",25317,82.95,-20.11,4232,313.92,6173,196.66,12130,61.19,2782,44.81,"1-7","marzec","2023","9","3A"
"Świętokrzyskie",4385,52.99,-18.46,681,197.86,1267,153.86,2009,37.66,428,24.14,"1-7","marzec","2023","9","3A"
"Warmińsko-Mazurskie",4413,46.02,-2.26,655,151.63,1252,120.58,2021,31.82,485,27.45,"1-7","marzec","2023","9","3A"
"Wielkopolskie",25107,102.59,-6.23,4609,364.78,6946,249.75,11499,71.61,2053,46.97,"1-7","marzec","2023","9","3A"
"Zachodniopomorskie",3069,26.65,-1.49,527,107.24,740,62.91,1488,19.8,314,13.47,"1-7","marzec","2023","9","3A"
"Dolnośląskie",11856,51.24,12.07,1892,180.86,3070,131.1,5844,38.69,1050,22.61,"8-15","marzec","2023","10","3B"
"Kujawsko-Pomorskie",14260,88.61,15.83,2342,316.8,4151,240.25,6613,62.79,1154,37.29,"8-15","marzec","2023","10","3B"
"Lubelskie",11352,69.88,6.53,1982,268.65,3183,186.62,5107,48.43,1080,33.17,"8-15","marzec","2023","10","3B"
"Lubuskie",5200,66.15,5.23,561,161.36,1534,180.36,2178,42.31,927,61.19,"8-15","marzec","2023","10","3B"
"Łódzkie",10527,55.16,1.64,1543,183.38,3104,161.54,4881,39.93,999,24.38,"8-15","marzec","2023","10","3B"
"Małopolskie",20090,73.24,-4.53,3530,245.29,5378,176.43,9546,52.72,1636,33.82,"8-15","marzec","2023","10","3B"
"Mazowieckie",33242,75.39,10.11,6302,273.76,7786,157.41,16427,57.3,2727,33.35,"8-15","marzec","2023","10","3B"
"Opolskie",2184,28.88,2.09,391,120.8,677,92.63,932,18.64,184,12.21,"8-15","marzec","2023","10","3B"
"Podkarpackie",7019,42.15,1.88,1041,127.85,2084,115.32,3291,29.86,603,20.02,"8-15","marzec","2023","10","3B"
"Podlaskie",6543,71.38,11.8,957,217.16,2152,223.61,2851,47.3,583,33.59,"8-15","marzec","2023","10","3B"
"Pomorskie",33135,175.62,0.21,5584,560.8,9402,435.29,15348,124.29,2801,83.28,"8-15","marzec","2023","10","3B"
"Śląskie",27344,78.4,-4.56,4781,310.32,6335,176.6,13558,59.84,2670,37.63,"8-15","marzec","2023","10","3B"
"Świętokrzyskie",4870,51.49,-1.5,764,194.22,1595,169.48,2006,32.9,505,24.92,"8-15","marzec","2023","10","3B"
"Warmińsko-Mazurskie",6146,56.08,10.06,878,177.84,1863,156.99,2782,38.32,623,30.85,"8-15","marzec","2023","10","3B"
"Wielkopolskie",37458,133.92,31.33,6229,431.37,10693,336.41,17555,95.66,2981,59.67,"8-15","marzec","2023","10","3B"
"Zachodniopomorskie",3370,25.61,-1.04,452,80.48,895,66.57,1687,19.64,336,12.61,"8-15","marzec","2023","10","3B"
"Dolnośląskie",13443,66.4,15.16,1740,190.1,2959,144.41,7317,55.36,1427,35.12,"16-22","marzec","2023","11","3C"
"Kujawsko-Pomorskie",12050,85.57,-3.04,1948,301.15,3635,240.44,5515,59.85,952,35.16,"16-22","marzec","2023","11","3C"
"Lubelskie",9295,65.4,-4.49,1429,221.37,2727,182.73,4349,47.14,790,27.73,"16-22","marzec","2023","11","3C"
"Lubuskie",4314,62.72,-3.43,699,229.78,1471,197.66,1871,41.54,273,20.59,"16-22","marzec","2023","11","3C"
"Łódzkie",9788,58.61,3.45,1482,201.29,2792,166.06,4457,41.67,1057,29.48,"16-22","marzec","2023","11","3C"
"Małopolskie",16663,69.42,-3.82,3201,254.2,4314,161.74,7686,48.51,1462,34.54,"16-22","marzec","2023","11","3C"
