"woj","suma","w_0-4","w_5_14","w_15_64","w_65","tydz","data"
"Dolnośląskie",0,0,0,0,0,"2021_01A","1_do_7_stycznia_2021"
"Kujawsko-Pomorskie",0,0,0,0,0,"2021_01A","1_do_7_stycznia_2021"
"Lubelskie",0,0,0,0,0,"2021_01A","1_do_7_stycznia_2021"
"Lubuskie",0,0,0,0,0,"2021_01A","1_do_7_stycznia_2021"
"Łódzkie",0,0,0,0,0,"2021_01A","1_do_7_stycznia_2021"
"Małopolskie",0,0,0,0,0,"2021_01A","1_do_7_stycznia_2021"
"Mazowieckie",0,0,0,0,0,"2021_01A","1_do_7_stycznia_2021"
"Opolskie",0,0,0,0,0,"2021_01A","1_do_7_stycznia_2021"
"Podkarpackie",0,0,0,0,0,"2021_01A","1_do_7_stycznia_2021"
"Podlaskie",0,0,0,0,0,"2021_01A","1_do_7_stycznia_2021"
"Pomorskie",0,0,0,0,0,"2021_01A","1_do_7_stycznia_2021"
"Śląskie",0,0,0,0,0,"2021_01A","1_do_7_stycznia_2021"
"Świętokrzyskie",0,0,0,0,0,"2021_01A","1_do_7_stycznia_2021"
"Warmińsko-Mazurskie",0,0,0,0,0,"2021_01A","1_do_7_stycznia_2021"
"Wielkopolskie",0,0,0,0,0,"2021_01A","1_do_7_stycznia_2021"
"Zachodniopomorskie",0,0,0,0,0,"2021_01A","1_do_7_stycznia_2021"
"Dolnośląskie",0,0,0,0,0,"2021_01B","8_do_15_stycznia_2021"
"Kujawsko-Pomorskie",0,0,0,0,0,"2021_01B","8_do_15_stycznia_2021"
"Lubelskie",0,0,0,0,0,"2021_01B","8_do_15_stycznia_2021"
"Lubuskie",0,0,0,0,0,"2021_01B","8_do_15_stycznia_2021"
"Łódzkie",0,0,0,0,0,"2021_01B","8_do_15_stycznia_2021"
"Małopolskie",0,0,0,0,0,"2021_01B","8_do_15_stycznia_2021"
"Mazowieckie",0,0,0,0,0,"2021_01B","8_do_15_stycznia_2021"
"Opolskie",0,0,0,0,0,"2021_01B","8_do_15_stycznia_2021"
"Podkarpackie",0,0,0,0,0,"2021_01B","8_do_15_stycznia_2021"
"Podlaskie",0,0,0,0,0,"2021_01B","8_do_15_stycznia_2021"
"Pomorskie",0,0,0,0,0,"2021_01B","8_do_15_stycznia_2021"
"Śląskie",0,0,0,0,0,"2021_01B","8_do_15_stycznia_2021"
"Świętokrzyskie",0,0,0,0,0,"2021_01B","8_do_15_stycznia_2021"
"Warmińsko-Mazurskie",0,0,0,0,0,"2021_01B","8_do_15_stycznia_2021"
"Wielkopolskie",0,0,0,0,0,"2021_01B","8_do_15_stycznia_2021"
"Zachodniopomorskie",0,0,0,0,0,"2021_01B","8_do_15_stycznia_2021"
"Dolnośląskie",0,0,0,0,0,"2021_01C","16_do_22_stycznia_2021"
