"woj","o_l","o_z","o_z_wsk","l_0_4","z_0_4","l_5_14","z_5_14","l_15_64","z_15_64","l_65","z_65","dni","miesiac","rok","tydz","numer"
"Dolnośląskie",2953,14.63,-3.56,390,41.17,403,20.06,1665,12.6,495,12.33,"1-7","styczeń","2022","1","1A"
"Kujawsko-Pomorskie",3192,22.2,-11.4,639,95.26,452,30.22,1631,17.08,470,17.65,"1-7","styczeń","2022","1","1A"
"Lubelskie",2067,14.15,4.12,557,83.65,251,17.09,1056,10.94,203,7.2,"1-7","styczeń","2022","1","1A"
"Lubuskie",844,12.02,1.92,190,58.74,144,19.39,359,7.71,151,11.64,"1-7","styczeń","2022","1","1A"
"Łódzkie",3203,18.85,-0.73,653,85.25,502,29.95,1567,14.25,481,13.56,"1-7","styczeń","2022","1","1A"
"Małopolskie",5393,22.6,-2.35,1430,110.79,785,30.47,2606,16.48,572,13.68,"1-7","styczeń","2022","1","1A"
"Mazowieckie",10519,27.73,-5.09,2488,119.63,1571,37.47,5348,21.76,1112,15.69,"1-7","styczeń","2022","1","1A"
"Opolskie",679,9.97,-1.86,142,48.25,76,12.19,382,8.38,79,5.92,"1-7","styczeń","2022","1","1A"
"Podkarpackie",1035,6.99,-1.51,248,34.43,158,10.4,508,5.09,121,4.66,"1-7","styczeń","2022","1","1A"
"Podlaskie",766,9.36,-5.07,169,42.84,102,12.63,380,6.94,115,7.63,"1-7","styczeń","2022","1","1A"
"Pomorskie",11153,67.91,2.74,2700,296.09,1669,90,5468,50.8,1316,45.51,"1-7","styczeń","2022","1","1A"
"Śląskie",5772,18.44,-1.02,1304,91.18,863,27.59,2888,14.09,717,11.47,"1-7","styczeń","2022","1","1A"
"Świętokrzyskie",2689,31.54,16.7,640,181,515,63.34,1252,22.3,282,16.15,"1-7","styczeń","2022","1","1A"
"Warmińsko-Mazurskie",1066,10.8,-6.45,226,49.84,181,17.38,500,7.52,159,9.21,"1-7","styczeń","2022","1","1A"
"Wielkopolskie",9081,37.16,-0.8,2009,152.58,1521,55.74,4468,27.7,1083,25.38,"1-7","styczeń","2022","1","1A"
"Zachodniopomorskie",456,3.87,-0.95,65,12.52,50,4.25,273,3.51,68,2.96,"1-7","styczeń","2022","1","1A"
"Dolnośląskie",3489,15.12,0.49,584,53.94,450,19.6,1880,12.45,575,12.53,"8-15","styczeń","2022","2","1B"
"Kujawsko-Pomorskie",3827,23.29,1.09,729,95.09,727,42.53,1876,17.19,495,16.27,"8-15","styczeń","2022","2","1B"
"Lubelskie",1551,9.29,-4.86,287,37.71,239,14.23,831,7.53,194,6.02,"8-15","styczeń","2022","2","1B"
"Lubuskie",437,5.45,-6.57,127,34.35,85,10.01,196,3.68,29,1.96,"8-15","styczeń","2022","2","1B"
"Łódzkie",3054,15.73,-3.12,632,72.19,419,21.87,1492,11.87,511,12.61,"8-15","styczeń","2022","2","1B"
"Małopolskie",6327,23.2,0.6,1352,91.66,769,26.12,3570,19.76,636,13.3,"8-15","styczeń","2022","2","1B"
"Mazowieckie",10461,24.13,-3.6,2175,91.51,1580,32.97,5359,19.08,1347,16.63,"8-15","styczeń","2022","2","1B"
"Opolskie",740,9.5,-0.46,159,47.27,90,12.64,397,7.62,94,6.16,"8-15","styczeń","2022","2","1B"
"Podkarpackie",1223,7.23,0.24,204,24.78,198,11.41,646,5.67,175,5.9,"8-15","styczeń","2022","2","1B"
"Podlaskie",973,10.4,1.04,151,33.49,112,12.14,574,9.17,136,7.9,"8-15","styczeń","2022","2","1B"
"Pomorskie",10215,54.43,-13.49,2401,230.39,1540,72.67,5250,42.68,1024,30.98,"8-15","styczeń","2022","2","1B"
"Śląskie",6080,16.99,-1.44,1265,77.39,813,22.74,3184,13.59,818,11.45,"8-15","styczeń","2022","2","1B"
"Świętokrzyskie",1005,10.31,-21.22,165,40.83,111,11.95,577,8.99,152,7.61,"8-15","styczeń","2022","2","1B"
"Warmińsko-Mazurskie",1021,9.05,-1.75,184,35.51,189,15.88,489,6.43,159,8.06,"8-15","styczeń","2022","2","1B"
"Wielkopolskie",8474,30.34,-6.82,1920,127.59,1460,46.82,4209,22.84,885,18.15,"8-15","styczeń","2022","2","1B"
"Zachodniopomorskie",482,3.58,-0.29,88,14.84,56,4.17,278,3.12,60,2.29,"8-15","styczeń","2022","2","1B"
"Dolnośląskie",3820,18.92,3.8,529,55.84,727,36.19,2009,15.2,555,13.82,"16-22","styczeń","2022","3","1C"
"Kujawsko-Pomorskie",3726,25.91,2.62,839,125.07,705,47.14,1728,18.09,454,17.05,"16-22","styczeń","2022","3","1C"
"Lubelskie",2813,19.26,9.97,644,96.72,546,37.17,1376,14.26,247,8.77,"16-22","styczeń","2022","3","1C"
"Lubuskie",542,7.72,2.27,185,57.19,102,13.73,225,4.83,30,2.31,"16-22","styczeń","2022","3","1C"
"Łódzkie",3123,18.38,2.65,610,79.63,564,33.65,1540,14,409,11.53,"16-22","styczeń","2022","3","1C"
"Małopolskie",6420,26.91,3.7,1233,95.53,948,36.8,3584,22.67,655,15.66,"16-22","styczeń","2022","3","1C"
"Mazowieckie",11574,30.51,6.38,2335,112.28,2052,48.94,6085,24.76,1102,15.54,"16-22","styczeń","2022","3","1C"
"Opolskie",900,13.21,3.71,195,66.26,151,24.23,485,10.63,69,5.17,"16-22","styczeń","2022","3","1C"
"Podkarpackie",1718,11.6,4.37,264,36.65,334,22,929,9.31,191,7.36,"16-22","styczeń","2022","3","1C"
"Podlaskie",1053,12.86,2.46,180,45.63,207,25.64,566,10.33,100,6.64,"16-22","styczeń","2022","3","1C"
"Pomorskie",11500,70.03,15.6,2918,320,2485,134.01,5316,49.39,781,27.01,"16-22","styczeń","2022","3","1C"
"Śląskie",7891,25.2,8.21,1553,108.59,1372,43.86,4069,19.85,897,14.35,"16-22","styczeń","2022","3","1C"
"Świętokrzyskie",1045,12.26,1.94,200,56.56,158,19.43,553,9.85,134,7.67,"16-22","styczeń","2022","3","1C"
"Warmińsko-Mazurskie",1293,13.09,4.05,210,46.31,248,23.81,661,9.94,174,10.08,"16-22","styczeń","2022","3","1C"
"Wielkopolskie",8799,36,5.66,1881,142.86,1442,52.85,4683,29.04,793,18.58,"16-22","styczeń","2022","3","1C"
"Zachodniopomorskie",638,5.42,1.84,86,16.57,132,11.22,359,4.61,61,2.66,"16-22","styczeń","2022","3","1C"
"Dolnośląskie",5532,21.31,2.39,840,68.97,977,37.82,3089,18.18,626,12.13,"23-31","styczeń","2022","4","1D"
"Kujawsko-Pomorskie",5390,29.15,3.24,1128,130.78,833,43.32,2820,22.97,609,17.79,"23-31","styczeń","2022","4","1D"
"Lubelskie",3250,17.31,-1.95,568,66.35,715,37.85,1628,13.12,339,9.36,"23-31","styczeń","2022","4","1D"
"Lubuskie",710,7.86,0.15,206,49.53,154,16.13,303,5.06,47,2.82,"23-31","styczeń","2022","4","1D"
"Łódzkie",3856,17.65,-0.73,786,79.81,735,34.1,1900,13.44,435,9.54,"23-31","styczeń","2022","4","1D"
"Małopolskie",7713,25.14,-1.76,1547,93.22,1072,32.36,4234,20.83,860,15.99,"23-31","styczeń","2022","4","1D"
"Mazowieckie",20574,42.18,11.67,3539,132.36,4098,76.02,10927,34.58,2010,22.05,"23-31","styczeń","2022","4","1D"
"Opolskie",1305,14.9,1.69,199,52.59,166,20.72,843,14.38,97,5.65,"23-31","styczeń","2022","4","1D"
"Podkarpackie",2648,13.91,2.31,364,39.3,411,21.05,1491,11.63,382,11.45,"23-31","styczeń","2022","4","1D"
"Podlaskie",1628,15.47,2.6,268,52.84,278,26.78,937,13.3,145,7.49,"23-31","styczeń","2022","4","1D"
"Pomorskie",19607,92.86,22.83,4477,381.86,3903,163.7,9910,71.61,1317,35.42,"23-31","styczeń","2022","4","1D"
"Śląskie",12363,30.71,5.51,2162,117.58,2321,57.71,6907,26.21,973,12.1,"23-31","styczeń","2022","4","1D"
"Świętokrzyskie",1331,12.14,-0.11,292,64.23,225,21.52,660,9.14,154,6.86,"23-31","styczeń","2022","4","1D"
"Warmińsko-Mazurskie",1772,13.96,0.86,319,54.72,373,27.85,871,10.18,209,9.41,"23-31","styczeń","2022","4","1D"
"Wielkopolskie",12410,39.49,3.49,2695,159.2,1983,56.52,6631,31.98,1101,20.07,"23-31","styczeń","2022","4","1D"
"Zachodniopomorskie",891,5.89,0.47,143,21.43,223,14.75,440,4.4,85,2.88,"23-31","styczeń","2022","4","1D"
"Dolnośląskie",4264,21.12,-0.19,688,72.63,535,26.63,2493,18.86,548,13.65,"1-7","luty","2022","5","2A"
"Kujawsko-Pomorskie",4668,32.46,3.31,823,122.68,794,53.09,2469,25.85,582,21.86,"1-7","luty","2022","5","2A"
"Lubelskie",2931,20.07,2.76,625,93.86,589,40.09,1478,15.31,239,8.48,"1-7","luty","2022","5","2A"
"Lubuskie",676,9.63,1.76,152,46.99,116,15.62,384,8.24,24,1.85,"1-7","luty","2022","5","2A"
"Łódzkie",3895,22.93,5.27,730,95.3,632,37.7,2122,19.29,411,11.59,"1-7","luty","2022","5","2A"
"Małopolskie",7293,30.57,5.42,1573,121.87,968,37.57,3892,24.62,860,20.56,"1-7","luty","2022","5","2A"
"Mazowieckie",14194,37.41,-4.77,2676,128.67,2327,55.5,7800,31.74,1391,19.62,"1-7","luty","2022","5","2A"
"Opolskie",1050,15.41,0.51,217,73.73,116,18.61,616,13.51,101,7.56,"1-7","luty","2022","5","2A"
"Podkarpackie",1227,8.29,-5.62,249,34.57,214,14.09,621,6.23,143,5.51,"1-7","luty","2022","5","2A"
"Podlaskie",1527,18.65,3.19,246,62.36,212,26.26,894,16.32,175,11.62,"1-7","luty","2022","5","2A"
