"woj","o_l","o_p","ouk_l","ouk_p","ouo_l","ouo_p","inne_l","inne_p","tydz","data"
"Dolnośląskie",4,0.28,0,0,4,100,0,0,"2021_01A","1_do_7_stycznia_2021"
"Kujawsko-Pomorskie",5,0.31,0,0,5,100,0,0,"2021_01A","1_do_7_stycznia_2021"
"Lubelskie",0,0,0,0,0,0,0,0,"2021_01A","1_do_7_stycznia_2021"
"Lubuskie",2,1.05,0,0,2,100,0,0,"2021_01A","1_do_7_stycznia_2021"
"Łódzkie",0,0,0,0,0,0,0,0,"2021_01A","1_do_7_stycznia_2021"
"Małopolskie",1,0.06,0,0,1,100,0,0,"2021_01A","1_do_7_stycznia_2021"
"Mazowieckie",12,0.19,0,0,8,66.7,4,33.3,"2021_01A","1_do_7_stycznia_2021"
"Opolskie",0,0,0,0,0,0,0,0,"2021_01A","1_do_7_stycznia_2021"
"Podkarpackie",3,1.49,0,0,3,100,0,0,"2021_01A","1_do_7_stycznia_2021"
"Podlaskie",10,1.25,0,0,10,100,0,0,"2021_01A","1_do_7_stycznia_2021"
"Pomorskie",7,0.16,0,0,7,100,0,0,"2021_01A","1_do_7_stycznia_2021"
"Śląskie",4,0.13,0,0,4,100,0,0,"2021_01A","1_do_7_stycznia_2021"
"Świętokrzyskie",0,0,0,0,0,0,0,0,"2021_01A","1_do_7_stycznia_2021"
"Warmińsko-Mazurskie",15,3.12,0,0,15,100,0,0,"2021_01A","1_do_7_stycznia_2021"
"Wielkopolskie",5,0.13,0,0,4,80,1,20,"2021_01A","1_do_7_stycznia_2021"
"Zachodniopomorskie",0,0,0,0,0,0,0,0,"2021_01A","1_do_7_stycznia_2021"
"Dolnośląskie",3,0.16,0,0,3,100,0,0,"2021_01B","8_do_15_stycznia_2021"
"Kujawsko-Pomorskie",3,0.13,0,0,3,100,0,0,"2021_01B","8_do_15_stycznia_2021"
"Lubelskie",2,0.17,0,0,0,0,2,100,"2021_01B","8_do_15_stycznia_2021"
"Lubuskie",3,0.98,0,0,3,100,0,0,"2021_01B","8_do_15_stycznia_2021"
"Łódzkie",0,0,0,0,0,0,0,0,"2021_01B","8_do_15_stycznia_2021"
"Małopolskie",4,0.15,0,0,4,100,0,0,"2021_01B","8_do_15_stycznia_2021"
"Mazowieckie",24,0.35,2,8.3,22,91.7,0,0,"2021_01B","8_do_15_stycznia_2021"
"Opolskie",0,0,0,0,0,0,0,0,"2021_01B","8_do_15_stycznia_2021"
"Podkarpackie",0,0,0,0,0,0,0,0,"2021_01B","8_do_15_stycznia_2021"
"Podlaskie",0,0,0,0,0,0,0,0,"2021_01B","8_do_15_stycznia_2021"
"Pomorskie",11,0.16,0,0,11,100,0,0,"2021_01B","8_do_15_stycznia_2021"
"Śląskie",1,0.03,1,100,1,100,0,0,"2021_01B","8_do_15_stycznia_2021"
"Świętokrzyskie",1,0.29,0,0,1,100,0,0,"2021_01B","8_do_15_stycznia_2021"
"Warmińsko-Mazurskie",15,2.15,0,0,15,100,0,0,"2021_01B","8_do_15_stycznia_2021"
"Wielkopolskie",15,0.29,0,0,9,60,6,40,"2021_01B","8_do_15_stycznia_2021"
"Zachodniopomorskie",0,0,0,0,0,0,0,0,"2021_01B","8_do_15_stycznia_2021"
"Dolnośląskie",4,0.24,0,0,4,100,0,0,"2021_01C","16_do_22_stycznia_2021"
"Kujawsko-Pomorskie",6,0.27,0,0,6,100,0,0,"2021_01C","16_do_22_stycznia_2021"
"Lubelskie",0,0,0,0,0,0,0,0,"2021_01C","16_do_22_stycznia_2021"
"Lubuskie",2,1.36,0,0,2,100,0,0,"2021_01C","16_do_22_stycznia_2021"
"Łódzkie",0,0,0,0,0,0,0,0,"2021_01C","16_do_22_stycznia_2021"
"Małopolskie",2,0.12,0,0,1,50,1,50,"2021_01C","16_do_22_stycznia_2021"
"Mazowieckie",26,0.43,1,3.8,24,92.3,1,3.8,"2021_01C","16_do_22_stycznia_2021"
"Opolskie",0,0,0,0,0,0,0,0,"2021_01C","16_do_22_stycznia_2021"
"Podkarpackie",0,0,0,0,0,0,0,0,"2021_01C","16_do_22_stycznia_2021"
"Podlaskie",2,0.34,0,0,2,100,0,0,"2021_01C","16_do_22_stycznia_2021"
"Pomorskie",15,0.23,0,0,15,100,0,0,"2021_01C","16_do_22_stycznia_2021"
"Śląskie",1,0.03,0,0,1,100,0,0,"2021_01C","16_do_22_stycznia_2021"
"Świętokrzyskie",0,0,0,0,0,0,0,0,"2021_01C","16_do_22_stycznia_2021"
"Warmińsko-Mazurskie",2,0.34,0,0,2,100,0,0,"2021_01C","16_do_22_stycznia_2021"
"Wielkopolskie",0,0,0,0,0,0,0,0,"2021_01C","16_do_22_stycznia_2021"
"Zachodniopomorskie",1,0.24,0,0,1,100,0,0,"2021_01C","16_do_22_stycznia_2021"
"Dolnośląskie",4,0.2,0,0,4,100,0,0,"2021_01D","23_do_31_stycznia_2021"
"Kujawsko-Pomorskie",3,0.12,0,0,3,100,0,0,"2021_01D","23_do_31_stycznia_2021"
"Lubelskie",4,0.31,0,0,4,100,0,0,"2021_01D","23_do_31_stycznia_2021"
"Lubuskie",0,0,0,0,0,0,0,0,"2021_01D","23_do_31_stycznia_2021"
"Łódzkie",2,0.12,0,0,2,100,0,0,"2021_01D","23_do_31_stycznia_2021"
"Małopolskie",2,0.07,0,0,1,50,1,50,"2021_01D","23_do_31_stycznia_2021"
"Mazowieckie",36,0.44,0,0,35,97.2,5,13.9,"2021_01D","23_do_31_stycznia_2021"
"Opolskie",0,0,0,0,0,0,0,0,"2021_01D","23_do_31_stycznia_2021"
"Podkarpackie",0,0,0,0,0,0,0,0,"2021_01D","23_do_31_stycznia_2021"
"Podlaskie",0,0,0,0,0,0,0,0,"2021_01D","23_do_31_stycznia_2021"
"Pomorskie",8,0.13,0,0,8,100,0,0,"2021_01D","23_do_31_stycznia_2021"
"Śląskie",4,0.12,0,0,2,50,2,50,"2021_01D","23_do_31_stycznia_2021"
"Świętokrzyskie",1,0.25,0,0,1,100,0,0,"2021_01D","23_do_31_stycznia_2021"
