"woj","o_l","o_z","o_z_wsk","l_0_4","z_0_4","l_5_14","z_5_14","l_15_64","z_15_64","l_65","z_65","tydz","data"
"Dolnośląskie",1451,7.15,-2.64,232,24.09,152,7.59,804,6,263,6.69,"2021_01A","1_do_7_stycznia_2021"
"Kujawsko-Pomorskie",1620,11.18,-0.78,295,42.97,180,11.97,925,9.56,220,8.41,"2021_01A","1_do_7_stycznia_2021"
"Lubelskie",845,5.74,-1.57,206,30.18,117,7.91,438,4.48,84,3.02,"2021_01A","1_do_7_stycznia_2021"
"Lubuskie",191,2.7,-0.49,40,12.03,23,3.08,114,2.41,14,1.1,"2021_01A","1_do_7_stycznia_2021"
"Łódzkie",622,3.63,-9.7,123,15.73,72,4.28,299,2.68,128,3.65,"2021_01A","1_do_7_stycznia_2021"
"Małopolskie",1560,6.53,-2.86,435,33.41,168,6.57,760,4.78,197,4.78,"2021_01A","1_do_7_stycznia_2021"
"Mazowieckie",6308,16.6,0.52,1255,59.6,548,13.19,3608,14.58,897,12.84,"2021_01A","1_do_7_stycznia_2021"
"Opolskie",292,4.25,-1.98,50,16.66,21,3.37,177,3.83,44,3.34,"2021_01A","1_do_7_stycznia_2021"
"Podkarpackie",202,1.36,-0.71,60,8.22,10,0.66,122,1.21,10,0.39,"2021_01A","1_do_7_stycznia_2021"
"Podlaskie",798,9.69,1.7,216,53.87,84,10.41,413,7.45,85,5.72,"2021_01A","1_do_7_stycznia_2021"
"Pomorskie",4420,26.91,-12.74,1105,120.02,517,28.06,2269,20.94,529,18.71,"2021_01A","1_do_7_stycznia_2021"
"Śląskie",3015,9.55,1.91,732,49.82,269,8.62,1604,7.71,410,6.65,"2021_01A","1_do_7_stycznia_2021"
"Świętokrzyskie",154,1.79,-0.55,47,12.89,30,3.67,62,1.09,15,0.87,"2021_01A","1_do_7_stycznia_2021"
"Warmińsko-Mazurskie",481,4.84,-0.68,67,14.32,47,4.47,242,3.59,125,7.41,"2021_01A","1_do_7_stycznia_2021"
"Wielkopolskie",3718,15.17,-6.5,670,50.03,444,16.34,2131,13.11,473,11.3,"2021_01A","1_do_7_stycznia_2021"
"Zachodniopomorskie",537,4.53,0.9,95,17.82,42,3.56,327,4.14,73,3.27,"2021_01A","1_do_7_stycznia_2021"
"Dolnośląskie",1916,8.26,1.11,263,23.9,180,7.87,1124,7.34,349,7.76,"2021_01B","8_do_15_stycznia_2021"
"Kujawsko-Pomorskie",2227,13.45,2.27,478,60.92,237,13.79,1193,10.79,319,10.67,"2021_01B","8_do_15_stycznia_2021"
"Lubelskie",1187,7.05,1.32,320,41.02,130,7.69,586,5.24,151,4.75,"2021_01B","8_do_15_stycznia_2021"
"Lubuskie",305,3.77,1.07,56,14.73,18,2.11,215,3.98,16,1.1,"2021_01B","8_do_15_stycznia_2021"
"Łódzkie",1365,6.97,3.34,282,31.56,127,6.61,774,6.06,182,4.54,"2021_01B","8_do_15_stycznia_2021"
"Małopolskie",2758,10.1,3.57,736,49.45,411,14.06,1280,7.04,331,7.03,"2021_01B","8_do_15_stycznia_2021"
"Mazowieckie",6763,15.57,-1.03,1197,49.74,913,19.23,3733,13.2,920,11.52,"2021_01B","8_do_15_stycznia_2021"
"Opolskie",563,7.18,2.92,110,32.07,43,6.03,326,6.17,84,5.59,"2021_01B","8_do_15_stycznia_2021"
"Podkarpackie",315,1.85,0.49,79,9.46,29,1.67,171,1.49,36,1.23,"2021_01B","8_do_15_stycznia_2021"
"Podlaskie",521,5.54,-4.15,92,20.08,41,4.45,295,4.66,93,5.47,"2021_01B","8_do_15_stycznia_2021"
"Pomorskie",6955,37.05,10.14,1900,180.58,786,37.33,3454,27.89,815,25.22,"2021_01B","8_do_15_stycznia_2021"
"Śląskie",2878,7.98,-1.57,651,38.77,299,8.38,1545,6.5,383,5.44,"2021_01B","8_do_15_stycznia_2021"
"Świętokrzyskie",341,3.47,1.68,88,21.12,37,3.96,165,2.53,51,2.59,"2021_01B","8_do_15_stycznia_2021"
"Warmińsko-Mazurskie",698,6.14,1.3,123,23.01,78,6.49,360,4.67,137,7.11,"2021_01B","8_do_15_stycznia_2021"
"Wielkopolskie",5228,18.67,3.5,1192,77.88,646,20.81,2775,14.93,615,12.85,"2021_01B","8_do_15_stycznia_2021"
"Zachodniopomorskie",494,3.65,-0.95,89,14.61,38,2.82,312,3.45,55,2.15,"2021_01B","8_do_15_stycznia_2021"
"Dolnośląskie",1645,8.11,-0.16,313,32.5,157,7.84,886,6.62,289,7.35,"2021_01C","16_do_22_stycznia_2021"
"Kujawsko-Pomorskie",2211,15.26,1.81,477,69.47,269,17.88,1190,12.3,275,10.51,"2021_01C","16_do_22_stycznia_2021"
"Lubelskie",925,6.28,-0.77,186,27.25,124,8.38,483,4.94,132,4.75,"2021_01C","16_do_22_stycznia_2021"
"Lubuskie",147,2.08,-1.7,44,13.23,24,3.21,68,1.44,11,0.87,"2021_01C","16_do_22_stycznia_2021"
"Łódzkie",840,4.9,-2.07,153,19.57,82,4.88,465,4.16,140,3.99,"2021_01C","16_do_22_stycznia_2021"
"Małopolskie",1604,6.71,-3.39,394,30.26,207,8.09,788,4.95,215,5.22,"2021_01C","16_do_22_stycznia_2021"
"Mazowieckie",6062,15.95,0.38,1236,58.7,636,15.31,3424,13.84,766,10.96,"2021_01C","16_do_22_stycznia_2021"
"Opolskie",410,5.97,-1.2,103,34.32,22,3.53,230,4.97,55,4.18,"2021_01C","16_do_22_stycznia_2021"
"Podkarpackie",332,2.23,0.38,77,10.54,44,2.89,186,1.85,25,0.98,"2021_01C","16_do_22_stycznia_2021"
"Podlaskie",587,7.13,1.59,149,37.16,81,10.04,305,5.5,52,3.5,"2021_01C","16_do_22_stycznia_2021"
"Pomorskie",6533,39.77,2.72,1749,189.97,814,44.19,3263,30.11,707,25,"2021_01C","16_do_22_stycznia_2021"
"Śląskie",3018,9.56,1.58,704,47.92,341,10.93,1576,7.58,397,6.44,"2021_01C","16_do_22_stycznia_2021"
"Świętokrzyskie",436,5.06,1.6,154,42.25,45,5.5,188,3.3,49,2.84,"2021_01C","16_do_22_stycznia_2021"
"Warmińsko-Mazurskie",588,5.91,-0.23,94,20.1,69,6.57,297,4.41,128,7.59,"2021_01C","16_do_22_stycznia_2021"
"Wielkopolskie",4787,19.54,0.87,959,71.61,600,22.09,2670,16.42,558,13.33,"2021_01C","16_do_22_stycznia_2021"
"Zachodniopomorskie",412,3.48,-0.17,54,10.13,29,2.46,272,3.44,57,2.55,"2021_01C","16_do_22_stycznia_2021"
"Dolnośląskie",2022,7.75,-0.36,403,32.55,273,10.61,1066,6.19,280,5.54,"2021_01D","23_do_31_stycznia_2021"
"Kujawsko-Pomorskie",2484,13.34,-1.93,680,77.03,424,21.92,1132,9.1,248,7.37,"2021_01D","23_do_31_stycznia_2021"
"Lubelskie",1277,6.75,0.46,354,40.34,216,11.36,596,4.74,111,3.1,"2021_01D","23_do_31_stycznia_2021"
"Lubuskie",203,2.23,0.15,78,18.24,30,3.13,81,1.33,14,0.86,"2021_01D","23_do_31_stycznia_2021"
"Łódzkie",1707,7.75,2.85,425,42.28,201,9.3,884,6.15,197,4.37,"2021_01D","23_do_31_stycznia_2021"
"Małopolskie",2925,9.52,2.81,924,55.19,461,14.02,1153,5.63,387,7.3,"2021_01D","23_do_31_stycznia_2021"
"Mazowieckie",8266,16.92,0.97,1851,68.37,1120,20.97,4300,13.51,995,11.07,"2021_01D","23_do_31_stycznia_2021"
"Opolskie",474,5.37,-0.6,113,29.28,58,7.23,221,3.72,82,4.85,"2021_01D","23_do_31_stycznia_2021"
"Podkarpackie",336,1.76,-0.47,63,6.71,43,2.19,188,1.45,42,1.28,"2021_01D","23_do_31_stycznia_2021"
"Podlaskie",869,8.21,1.08,157,30.45,144,13.88,460,6.46,108,5.65,"2021_01D","23_do_31_stycznia_2021"
"Pomorskie",6163,29.18,-10.59,1830,154.6,958,40.45,2821,20.25,554,15.24,"2021_01D","23_do_31_stycznia_2021"
"Śląskie",3414,8.41,-1.15,844,44.68,430,10.72,1762,6.59,378,4.77,"2021_01D","23_do_31_stycznia_2021"
"Świętokrzyskie",402,3.63,-1.43,139,29.66,47,4.47,164,2.24,52,2.34,"2021_01D","23_do_31_stycznia_2021"
"Warmińsko-Mazurskie",700,5.48,-0.44,145,24.11,80,5.92,343,3.96,132,6.09,"2021_01D","23_do_31_stycznia_2021"
"Wielkopolskie",5843,18.55,-0.99,1500,87.11,1031,29.52,2716,12.99,596,11.07,"2021_01D","23_do_31_stycznia_2021"
"Zachodniopomorskie",691,4.53,1.06,166,24.22,101,6.65,358,3.52,66,2.3,"2021_01D","23_do_31_stycznia_2021"
